Question_ID,Transaction_ID,Project_Name,Asset_Class,Country,Deal_Stage,Deal_Type,Question_Theme,Question_Text,Question_Date,Management_Response,Preparedness_Status,Follow_Up_Required,Follow_Up_Action,Final_Resolution,Approval_Outcome,Severity,Frequency_Score,Source_Document,Source_Page,Synthetic_Flag
ICQ-0075,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Decommissioning,Are decommissioning and battery-disposal obligations funded?,2025-07-13,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,Medium,0.6,HIST_BESS_008_IC_Minutes.pdf,4,Yes
ICQ-0076,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Strategic fit,How does the transaction advance target technology and geography priorities?,2025-07-30,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Deferred,High,0.67,HIST_BESS_008_IC_Minutes.pdf,5,Yes
ICQ-0077,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Portfolio concentration,"What concentration does the investment create by country, technology and counterparty?",2025-08-16,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,Medium,0.74,HIST_BESS_008_IC_Minutes.pdf,6,Yes
ICQ-0078,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Capital allocation,Does the return exceed the hurdle rate after country and development risk adjustments?,2025-09-02,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,High,0.81,HIST_BESS_008_IC_Minutes.pdf,7,Yes
ICQ-0079,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Downside protection,What contractual or structural protections preserve value under downside scenarios?,2025-09-19,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Deferred,High,0.88,HIST_BESS_008_IC_Minutes.pdf,8,Yes
ICQ-0080,HIST_BESS_008,MetroGrid BESS,Standalone BESS,Thailand,Development,Greenfield equity,Sensitivity,Has a combined downside case been run rather than only single-variable sensitivities?,2025-10-06,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Deferred,High,0.55,HIST_BESS_008_IC_Minutes.pdf,9,Yes
ICQ-0081,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Decommissioning,Are decommissioning and battery-disposal obligations funded?,2025-10-23,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.62,HIST_SOL_009_IC_Minutes.pdf,10,Yes
ICQ-0082,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Strategic fit,How does the transaction advance target technology and geography priorities?,2025-11-09,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,High,0.69,HIST_SOL_009_IC_Minutes.pdf,11,Yes
ICQ-0083,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Portfolio concentration,"What concentration does the investment create by country, technology and counterparty?",2025-11-26,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.76,HIST_SOL_009_IC_Minutes.pdf,12,Yes
ICQ-0084,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Capital allocation,Does the return exceed the hurdle rate after country and development risk adjustments?,2025-12-13,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.83,HIST_SOL_009_IC_Minutes.pdf,1,Yes
ICQ-0085,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Downside protection,What contractual or structural protections preserve value under downside scenarios?,2025-12-30,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,High,0.9,HIST_SOL_009_IC_Minutes.pdf,2,Yes
ICQ-0086,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Sensitivity,Has a combined downside case been run rather than only single-variable sensitivities?,2022-01-27,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.57,HIST_SOL_009_IC_Minutes.pdf,3,Yes
ICQ-0087,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Seller assumptions,Which seller assumptions were rejected or adjusted during diligence?,2022-02-13,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.64,HIST_SOL_009_IC_Minutes.pdf,4,Yes
ICQ-0088,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Operating performance,"How do availability, degradation and O&M assumptions compare with operating peers?",2022-03-02,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,Medium,0.71,HIST_SOL_009_IC_Minutes.pdf,5,Yes
ICQ-0089,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Merchant exposure,What proportion of revenue is contracted versus merchant-exposed?,2022-03-19,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.78,HIST_SOL_009_IC_Minutes.pdf,6,Yes
ICQ-0090,HIST_SOL_009,Andes Solar,Solar PV,Chile,Operating,Minority investment,Merchant price curve,How does the investment case compare with an independent merchant price curve?,2022-04-05,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.85,HIST_SOL_009_IC_Minutes.pdf,7,Yes
ICQ-0091,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,Downside protection,What contractual or structural protections preserve value under downside scenarios?,2022-04-22,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,High,0.92,HIST_SOLB_010_IC_Minutes.pdf,8,Yes
ICQ-0092,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,Sensitivity,Has a combined downside case been run rather than only single-variable sensitivities?,2022-05-09,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.59,HIST_SOLB_010_IC_Minutes.pdf,9,Yes
ICQ-0093,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,Seller assumptions,Which seller assumptions were rejected or adjusted during diligence?,2022-05-26,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.66,HIST_SOLB_010_IC_Minutes.pdf,10,Yes
ICQ-0094,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,Operating performance,"How do availability, degradation and O&M assumptions compare with operating peers?",2022-06-12,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,Medium,0.73,HIST_SOLB_010_IC_Minutes.pdf,11,Yes
ICQ-0095,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,Merchant exposure,What proportion of revenue is contracted versus merchant-exposed?,2022-06-29,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.8,HIST_SOLB_010_IC_Minutes.pdf,12,Yes
ICQ-0096,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,Merchant price curve,How does the investment case compare with an independent merchant price curve?,2022-07-16,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.87,HIST_SOLB_010_IC_Minutes.pdf,1,Yes
ICQ-0097,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,Revenue assumptions,What are the principal drivers of revenue growth and which are management-controlled?,2022-08-02,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,Medium,0.94,HIST_SOLB_010_IC_Minutes.pdf,2,Yes
ICQ-0098,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,PPA / offtake,"What termination, indexation and change-in-law provisions apply under the PPA?",2022-08-19,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.61,HIST_SOLB_010_IC_Minutes.pdf,3,Yes
ICQ-0099,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,Offtaker credit,What is the offtaker credit profile and what payment-security package is available?,2022-09-05,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.68,HIST_SOLB_010_IC_Minutes.pdf,4,Yes
ICQ-0100,HIST_SOLB_010,Lotus Flex,Solar PV + BESS,Thailand,Late-stage development,Majority acquisition,IRR bridge,What explains the movement from the seller case to the management case?,2022-09-22,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,High,0.75,HIST_SOLB_010_IC_Minutes.pdf,5,Yes
